Province,City,CityID,coord.x,coord.y,EE
江苏省,扬州市,173,119.26,32.23,0.223616909
江苏省,镇江市,174,119.27,32.11,0.225423571
江西省,抚州市,175,116.35,28,0.175989347
江西省,赣州市,176,114.56,28.52,0.158513974
江西省,吉安市,177,114.58,27.07,0.142891039
江西省,景德镇市,178,117.13,29.17,0.201202643
江西省,九江市,179,115.58,29.43,0.181404045
江西省,南昌市,180,115.55,28.4,0.169559848
江西省,萍乡市,181,113.5,27.37,0.135031238
江西省,上饶市,182,117.58,25.27,0.154557793
江西省,新余市,183,114.56,27.48,0.147069351
江西省,宜春市,184,114.23,27.47,0.143428935
江西省,鹰潭市,185,117.03,28.14,0.188324514
辽宁省,鞍山市,195,123,41.07,0.106942753
辽宁省,本溪市,196,123.46,41.18,0.110693765
辽宁省,朝阳市,197,120.27,41.34,0.089009567
辽宁省,大连市,198,121.62,38.92,0.083328303
辽宁省,丹东市,199,124.22,40.08,0.118189146
辽宁省,抚顺市,200,123.54,41.51,0.110883766
辽宁省,阜新市,201,121.39,42.01,0.098311029
辽宁省,葫芦岛市,202,120.51,40.45,0.083551219
辽宁省,锦州市,203,121.09,41.07,0.091096751
辽宁省,辽阳市,204,123.12,41.16,0.108046492
辽宁省,盘锦市,205,122.03,41.07,0.098508178
辽宁省,沈阳市,206,123.25,41.48,0.109071047
辽宁省,铁岭市,207,123.51,42.18,0.109042278
内蒙古自治区,巴彦淖尔市,210,107.42,40.75,0.182803211
内蒙古自治区,包头市,209,109.49,40.39,0.251238103
内蒙古自治区,赤峰市,211,118.58,42.17,0.100428362
内蒙古自治区,鄂尔多斯市,214,109.8,39.62,0.255502627
内蒙古自治区,呼和浩特市,212,111.41,40.48,0.267756079
内蒙古自治区,呼伦贝尔市,213,119.77,49.22,0.020540086
内蒙古自治区,通辽市,215,122.16,43.37,0.102087558
内蒙古自治区,乌海市,217,106.48,39.4,0.152652953
内蒙古自治区,乌兰察布市,216,113.12,40.98,0.245193237
宁夏回族自治区,固原市,220,106.28,36,0.171097129
宁夏回族自治区,石嘴山市,221,106.22,39.02,0.146701377
宁夏回族自治区,吴忠市,222,106.11,37.59,0.155856027
宁夏回族自治区,银川市,223,106.16,38.27,0.151352247
宁夏回族自治区,中卫市,224,105.18,37.52,0.13441993
青海省,海东市,228,102.12,36.5,0.117896656
青海省,西宁市,232,101.48,36.38,0.119668452
山东省,滨州市,243,118.02,37.22,0.133151652
山东省,德州市,244,116.17,37.26,0.180564495
山东省,东营市,245,118.3,37.27,0.125605239
山东省,菏泽市,246,115.26,35.14,0.211103778
山东省,济南市,247,117,36.4,0.171696699
山东省,济宁市,248,116.33,35.23,0.198113108
山东省,聊城市,250,115.57,36.26,0.20257976
山东省,临沂市,251,118.2,35.03,0.174964076
山东省,青岛市,252,120.18,36.03,0.11980451
山东省,日照市,253,119.32,35.23,0.153601353
山东省,泰安市,254,117.08,36.11,0.174479576
山东省,威海市,256,122.07,37.31,0.089724549
山东省,潍坊市,255,119.06,36.43,0.127365419
山东省,烟台市,257,121.24,37.32,0.087361163
山东省,枣庄市,258,117.33,34.52,0.194628703
山东省,淄博市,259,118.03,36.48,0.147306594
山西省,大同市,262,113.17,40.06,0.245718228
山西省,晋城市,263,112.51,35.3,0.231785574
山西省,晋中市,264,112.75,37.68,0.249791383
山西省,临汾市,265,111.31,36.05,0.243128824
山西省,吕梁市,266,111.13,37.52,0.257194244
山西省,朔州市,267,112.26,39.19,0.260105403
山西省,太原市,268,112.33,37.54,0.253232975
山西省,忻州市,269,112.43,38.24,0.255685492
山西省,阳泉市,270,113.34,37.51,0.24118806
山西省,运城市,271,110.59,35.02,0.226708765
山西省,长治市,261,113.06,36.11,0.236746508
陕西省,安康市,233,109.01,32.41,0.1698251
陕西省,宝鸡市,234,107.09,34.22,0.182987986
陕西省,汉中市,235,107.01,33.04,0.169479436
陕西省,商洛市,236,109.93,33.87,0.2035292
陕西省,铜川市,237,109.07,35.06,0.215189814
陕西省,渭南市,238,109.3,34.3,0.20666906
陕西省,西安市,239,108.57,34.17,0.19833164
陕西省,咸阳市,240,108.43,34.2,0.197403279
陕西省,延安市,241,109.28,36.35,0.231059652
陕西省,榆林市,242,109.47,38.18,0.245104262
上海市,上海市,260,121.29,31.14,0.255745209
四川省,巴中市,272,106.43,31.51,0.136591106
四川省,成都市,273,104.04,30.4,0.096767856
四川省,达州市,274,107.5,31.22,0.135464995
四川省,德阳市,275,104.22,31.09,0.11477293
四川省,广安市,277,106.63,30.47,0.111267914
四川省,广元市,278,105.51,32.28,0.146993618
四川省,乐山市,279,103.44,29.36,0.068473942
四川省,泸州市,281,105.24,28.54,0.053961319
四川省,眉山市,282,103.8484,30.07728,0.087746708
四川省,绵阳市,283,104.42,31.3,0.12061858
四川省,南充市,284,106.04,30.49,0.108167681
四川省,内江市,286,105.02,29.36,0.071935062
四川省,攀枝花市,288,101.43,26.34,0.016911747
四川省,遂宁市,289,105.33,30.31,0.099359954
四川省,雅安市,290,102.59,29.59,0.075357004
四川省,宜宾市,291,104.34,28.47,0.047576055
四川省,资阳市,293,104.38,30.09,0.089396679
四川省,自贡市,292,104.46,29.23,0.066311308
天津市,天津市,294,117.12,39.02,0.132604553
云南省,保山市,317,99.1,25.08,0.036200781
云南省,昆明市,323,102.42,25.04,0.002235984
云南省,丽江市,324,100.23,26.88,0.036034893
云南省,临沧市,325,100.08,23.88,0.018073182
云南省,普洱市,327,101,23.07,0.008172234
云南省,曲靖市,328,103.48,25.3,0.007297125
云南省,玉溪市,331,102.32,24.22,0.001890799
云南省,昭通市,332,103.42,27.2,0.022046785
浙江省,杭州市,333,120.1,30.16,0.252846397
浙江省,湖州市,334,120.06,30.52,0.250035081
浙江省,嘉兴市,335,120.45,30.46,0.255780645
浙江省,金华市,336,119.39,29.07,0.24036423
浙江省,丽水市,337,119.54,28.27,0.238026801
浙江省,宁波市,338,121.33,29.52,0.276873655
浙江省,衢州市,339,118.52,28.58,0.219979644
浙江省,绍兴市,340,120.34,30,0.257385646
浙江省,台州市,341,121.27,28.41,0.277578004
浙江省,温州市,342,120.39,28.01,0.255043377
浙江省,舟山市,343,122.06,30.01,0.284055703
重庆市,重庆市,18,106.33,29.35,0.080760879
